"Tidstämpel","To burn it in front of you, ho","You better lose yourself in the grass tryna slither fast","The best thing since Elvis Presley","They moved on to the point I'm like a fifth of a hundred thousand bucks","And say I empathize with the people this evil serpent","But you coulda signed an autograph for Matthew","Rappers are hungry lookin' at me like it's lunchtime
I know there was a time where once I
Was king of the underground","Paul wants me to rap like I'm on a Dre track
And I don't utilize what I gave up to me and for the other side
But as cold as I was, but I'm your biggest fan this is my life","I know there was a 24/7 special on the guy with a crystal ball
I'm devastating more than I do want you to do
But she don't know who the fuck can him and fuck you too!","Lil Pump Lil Xan imitate Lil Wayne
I should aim at everybody in the game pick a name
I'm fed up with being humble"
"2023/03/07 1:16:15 em CET","AI","AI","Eminem","Eminem","AI","AI","AI","AI","Eminem","Eminem"
"2023/03/07 1:17:00 em CET","Eminem","AI","Eminem","Eminem","Eminem","AI","Eminem","AI","AI","Eminem"
"2023/03/07 1:17:23 em CET","AI","Eminem","Eminem","AI","AI","Eminem","Eminem","Eminem","Eminem","AI"
"2023/03/07 1:18:20 em CET","Eminem","Eminem","Eminem","AI","AI","AI","Eminem","AI","AI","AI"
"2023/03/07 1:20:26 em CET","Eminem","Eminem","Eminem","AI","AI","AI","AI","AI","AI","AI"
"2023/03/07 1:23:52 em CET","AI","AI","AI","Eminem","Eminem","AI","Eminem","AI","Eminem","AI"
"2023/03/07 1:29:19 em CET","Eminem","AI","AI","AI","AI","Eminem","Eminem","AI","Eminem","AI"
"2023/03/07 1:29:58 em CET","AI","Eminem","AI","Eminem","AI","AI","Eminem","Eminem","Eminem","Eminem"
"2023/03/07 1:31:50 em CET","Eminem","AI","Eminem","AI","Eminem","AI","Eminem","Eminem","AI","AI"
"2023/03/07 1:34:35 em CET","AI","AI","AI","Eminem","AI","AI","Eminem","Eminem","AI","Eminem"
"2023/03/07 2:04:52 em CET","AI","Eminem","AI","Eminem","AI","Eminem","Eminem","AI","Eminem","AI"
"2023/03/07 2:05:12 em CET","Eminem","AI","Eminem","AI","AI","AI","Eminem","AI","AI","AI"
"2023/03/07 2:07:11 em CET","AI","AI","Eminem","AI","Eminem","Eminem","Eminem","AI","Eminem","Eminem"
"2023/03/07 2:38:10 em CET","AI","AI","Eminem","Eminem","AI","Eminem","Eminem","Eminem","Eminem","Eminem"
"2023/03/07 3:37:17 em CET","AI","AI","Eminem","Eminem","AI","Eminem","Eminem","AI","Eminem","AI"
"2023/03/07 4:15:41 em CET","AI","AI","Eminem","Eminem","AI","Eminem","AI","Eminem","AI","AI"
"2023/03/07 6:19:02 em CET","Eminem","Eminem","AI","Eminem","AI","AI","Eminem","AI","AI","AI"
"2023/03/07 11:22:04 em CET","Eminem","AI","Eminem","AI","AI","Eminem","Eminem","AI","AI","Eminem"
"2023/03/08 9:53:36 fm CET","AI","Eminem","Eminem","Eminem","Eminem","AI","Eminem","AI","Eminem","Eminem"
"2023/03/08 9:57:04 fm CET","AI","Eminem","Eminem","AI","AI","Eminem","Eminem","Eminem","AI","AI"
"2023/03/08 10:31:44 fm CET","Eminem","Eminem","AI","Eminem","AI","Eminem","AI","Eminem","Eminem","AI"
"2023/03/08 12:50:10 em CET","Eminem","AI","AI","Eminem","Eminem","AI","Eminem","AI","AI","Eminem"
"2023/03/08 4:57:09 em CET","AI","Eminem","AI","Eminem","Eminem","Eminem","AI","Eminem","AI","Eminem"